No.    Matricula       Nombre                  ApP             ApM        Edad       Puesto     Sexo 
1.- 301610     JULIA      RUIZ            NAVARRO    22       COMERCIAL  Femenino
2.- 301946     GLORIA     VARGAS          ARAYA      18       TECNICO    Femenino
3.- 309893     LUCAS      SOTO            MENDEZ     30       INGENIERO  Masculino
4.- 320653     LUIS       PIZARRO         ROJAS      24       TECNICO    Masculino
5.- 324352     SANDRA     MENDOZA         MORALES    18       INGENIERO  Femenino
6.- 309436     ADRIANA    VALENZUELA      PAREDES    32       TECNICO    Femenino
7.- 313027     CLAUDIA    AGUIRRE         RUIZ       24       REPRESENTANTE Femenino
8.- 307562     ROBERTO    ROJAS           SALAZAR    19       TECNICO    Masculino
9.- 309092     VICTORIA   DELGADO         LOPEZ      18       REPRESENTANTE Femenino
10.- 318016     VICTORIA   VARGAS          RAMIREZ    30       COMERCIAL  Femenino
11.- 314408     JAVIER     AGUIRRE         ROJAS      18       TECNICO    Masculino
12.- 303370     BEATRIZ    ROJAS           GUZMAN     24       COMERCIAL  Femenino
13.- 328057     FEDERICO   AGUIRRE         VILLANUEVA 26       INGENIERO  Masculino
14.- 312276     YOLANDA    MENDOZA         MORALES    21       TECNICO    Femenino
15.- 318631     JAVIER     VALENZUELA      RIOS       32       COMERCIAL  Masculino
16.- 301376     JAVIER     PAREDES         NAVARRO    28       INGENIERO  Masculino
17.- 303074     FRANCISCO  VARGAS          GOMEZ      32       COMERCIAL  Masculino
18.- 315177     EVA        OCHOA           VALENZUELA 22       INGENIERO  Femenino
19.- 318070     DANIEL     GUZMAN          DIAZ       33       COMERCIAL  Masculino
20.- 326525     FRANCISCO  SALAS           RODRIGUEZ  24       COMERCIAL  Masculino
21.- 315721     HUGO       RAMIREZ         MENDOZA    24       COMERCIAL  Masculino
22.- 301910     RAFAEL     RODRIGUEZ       MORENO     35       TECNICO    Masculino
23.- 326546     ALICIA     FERNANDEZ       MENDOZA    21       REPRESENTANTE Femenino
24.- 318554     CESAR      RODRIGUEZ       DIAZ       18       INGENIERO  Masculino
25.- 331738     ARTURO     JIMENEZ         GOMEZ      33       COMERCIAL  Masculino
26.- 314453     JULIO      OCHOA           RODRIGUEZ  34       INGENIERO  Masculino
27.- 318776     SERGIO     LOPEZ           SOTO       29       INGENIERO  Masculino
28.- 314131     INES       PEREZ           ROMERO     21       TECNICO    Femenino
29.- 322759     HORACIO    ACOSTA          BENITEZ    26       TECNICO    Masculino
30.- 318082     CARMEN     DELGADO         VARGAS     25       TECNICO    Femenino
31.- 305003     LORENA     BENITEZ         ACOSTA     18       INGENIERO  Femenino
32.- 305416     ARMANDO    VARGAS          DELGADO    26       COMERCIAL  Masculino
33.- 326596     CESAR      ROJAS           RODRIGUEZ  19       TECNICO    Masculino
34.- 324129     MARIO      SALAS           PAREDES    21       REPRESENTANTE Masculino
35.- 311410     SANTIAGO   ARAYA           RAMIREZ    31       TECNICO    Masculino
36.- 332092     LOLA       SOTO            RIVAS      27       TECNICO    Femenino
37.- 315019     NATALIA    GUZMAN          GARCIA     29       COMERCIAL  Femenino
38.- 320215     YOLANDA    AGUIRRE         TORRES     35       REPRESENTANTE Femenino
39.- 331865     ANGELA     BENITEZ         RODRIGUEZ  25       COMERCIAL  Femenino
40.- 315352     ROCIO      SANCHEZ         PEREZ      19       REPRESENTANTE Femenino
41.- 327767     SARA       SANDOVAL        BENITEZ    20       INGENIERO  Femenino
42.- 302894     ERNESTO    TORRES          BENITEZ    27       REPRESENTANTE Masculino
43.- 316525     CARLOS     CORDERO         ARAYA      23       TECNICO    Masculino
44.- 321959     INES       ORTEGA          GARCIA     26       COMERCIAL  Femenino
45.- 315755     VALERIA    ORTEGA          PEREZ      24       TECNICO    Femenino
46.- 314387     IRENE      TORRES          DELGADO    33       REPRESENTANTE Femenino
47.- 328387     ROSA       SANDOVAL        CASTRO     33       COMERCIAL  Femenino
48.- 308122     ALBERTO    MEDINA          MENDOZA    24       REPRESENTANTE Masculino
49.- 316042     ARTURO     DELGADO         MENDOZA    35       TECNICO    Masculino
50.- 319578     MANUEL     SANDOVAL        VARGAS     29       REPRESENTANTE Masculino
51.- 310704     FEDERICO   VARGAS          TORRES     28       COMERCIAL  Masculino
52.- 326211     MARTA      ROMERO          LOPEZ      33       TECNICO    Femenino
53.- 303230     BEATRIZ    MENDEZ          FLORES     34       INGENIERO  Femenino
54.- 316470     ANGEL      GUZMAN          MENDEZ     34       REPRESENTANTE Masculino
55.- 317264     MIRIAM     GUZMAN          ORTEGA     22       INGENIERO  Femenino
56.- 309596     HORACIO    FERNANDEZ       PAREDES    32       TECNICO    Masculino
57.- 307091     FERNANDO   PIZARRO         JIMENEZ    29       REPRESENTANTE Masculino
58.- 319684     ROBERTO    ACOSTA          PEREZ      24       COMERCIAL  Masculino
59.- 320769     FRANCISCO  OCHOA           NAVARRO    20       REPRESENTANTE Masculino
60.- 320319     NATALIA    PAREDES         SANDOVAL   26       INGENIERO  Femenino
61.- 304923     VANESA     RODRIGUEZ       ORTEGA     23       REPRESENTANTE Femenino
